numThreads,phase1,phase2,phase3,phase4
2,179749044.4,427.6,759.8,118761957.4
3,114522806.4,632.8,2119.8,101040465.2
4,94911421.4,701.6,3643.2,80766367.6
5,76837041.0,480.0,2966.6,66467926.8
6,56118078.2,470.8,3651.6,57158252.4
7,61514848.6,85.8,4544.4,51613134.8
8,52609215.0,886.4,5184.8,45373885.4
9,46545823.2,1834.6,4269.8,39330790.6
10,32333959.4,1408.0,7060.2,35278670.0
11,35256732.0,1521.4,4731.4,37062999.4
12,36019916.8,1204.0,4162.2,30273288.4
13,32758015.4,3166.8,3562.4,36384711.8
14,34519987.4,84.8,6917.0,30934000.8
15,32257870.8,4999.8,5858.0,37371182.0
16,31360682.0,1313.4,6045.8,35359042.6
